,Y,Y_RF,sig_1,pos_1,bal_1,sig_2,pos_2,bal_2,sig_3,pos_3,bal_3,Y_close,PL1,PL2,PL3
0,805.46,805.4157546016937,-1.0,-1.0,995980.0,-1.0,-1.0,995980.0,1.0,1.0,597270.0,813.5,,,
1,814.42,812.1033750951907,-1.0,-1.0,990765.0,-1.0,0.0,995980.0,-1.0,-1.0,1009695.0,824.85,-5215.0,0.0,412425.0
2,826.68,813.0810591144661,-1.0,-1.0,990515.0,-1.0,0.0,995980.0,-1.0,-1.0,1010860.0,827.18,-250.0,0.0,1165.0
3,828.0,823.4857814646732,-1.0,-1.0,991265.0,-1.0,0.0,995980.0,-1.0,-1.0,1010520.0,826.5,750.0,0.0,-340.0
4,826.5,825.8929979466147,-1.0,-1.0,989525.0,-1.0,0.0,995980.0,-1.0,-1.0,1012260.0,829.98,-1740.0,0.0,1740.0
5,828.73,827.2140147035109,-1.0,-1.0,989015.0,-1.0,0.0,995980.0,-1.0,-1.0,1012145.0,829.75,-510.0,0.0,-115.0
6,830.9,829.6088597112081,-1.0,-1.0,988850.0,-1.0,0.0,995980.0,-1.0,-1.0,1012885.0,831.23,-165.0,0.0,740.0
7,827.5,827.0442141670552,-1.0,-1.0,988900.0,-1.0,0.0,995980.0,-1.0,-1.0,1010970.0,827.4,50.0,0.0,-1915.0
8,828.92,832.0637413396138,1.0,1.0,989435.0,1.0,1.0,996515.0,-1.0,-1.0,1012265.0,829.99,535.0,535.0,1295.0
9,830.05,827.9744414396022,-1.0,-1.0,992205.0,-1.0,-1.0,999285.0,-1.0,-1.0,1009525.0,824.51,2770.0,2770.0,-2740.0
10,826.94,829.1618638753635,1.0,1.0,993235.0,1.0,1.0,1000315.0,-1.0,-1.0,1011770.0,829.0,1030.0,1030.0,2245.0
11,828.71,827.7203645920482,-1.0,-1.0,985285.0,-1.0,-1.0,992365.0,-1.0,-1.0,1019575.0,844.61,-7950.0,-7950.0,7805.0
12,845.59,829.304893491361,-1.0,-1.0,983055.0,-1.0,0.0,992365.0,-1.0,-1.0,1022295.0,850.05,-2230.0,0.0,2720.0
13,853.0,842.4029186764482,-1.0,-1.0,979860.0,-1.0,0.0,992365.0,-1.0,-1.0,1026965.0,859.39,-3195.0,0.0,4670.0
14,861.62,849.6696182918483,-1.0,-1.0,991670.0,-1.0,0.0,992365.0,-1.0,-1.0,1016270.0,838.0,11810.0,0.0,-10695.0
15,840.01,856.8536655577112,1.0,1.0,993920.0,1.0,1.0,994615.0,-1.0,-1.0,1019525.0,844.51,2250.0,2250.0,3255.0
16,840.8,837.8404307869807,-1.0,-1.0,1003045.0,-1.0,-1.0,1003740.0,-1.0,-1.0,1008545.0,822.55,9125.0,9125.0,-10980.0
17,823.0,844.7879289070372,1.0,1.0,1003045.0,1.0,1.0,1003740.0,-1.0,-1.0,1008770.0,823.0,0.0,0.0,225.0
18,825.0,824.4169724063239,-1.0,-1.0,1008495.0,-1.0,-1.0,1009190.0,-1.0,-1.0,1004320.0,814.1,5450.0,5450.0,-4450.0
19,814.13,820.5120329289275,1.0,1.0,1009925.0,1.0,1.0,1010620.0,-1.0,-1.0,1005765.0,816.99,1430.0,1430.0,1445.0
20,819.21,819.616123300134,1.0,1.0,1010385.0,1.0,0.0,1010620.0,-1.0,-1.0,1007335.0,820.13,460.0,0.0,1570.0
21,819.0,819.1973992059793,1.0,1.0,1010960.0,1.0,0.0,1010620.0,-1.0,-1.0,1007345.0,820.15,575.0,0.0,10.0
22,823.5,822.6299726116298,-1.0,-1.0,1008310.0,-1.0,-1.0,1007970.0,-1.0,-1.0,1011670.0,828.8,-2650.0,-2650.0,4325.0
23,831.37,820.4543899382951,-1.0,-1.0,1009210.0,-1.0,0.0,1007970.0,-1.0,-1.0,1012055.0,829.57,900.0,0.0,385.0
24,833.0,828.9808002224833,-1.0,-1.0,1011180.0,-1.0,0.0,1007970.0,-1.0,-1.0,1011800.0,829.06,1970.0,0.0,-255.0
25,833.0,831.7423821093399,-1.0,-1.0,1010320.0,-1.0,0.0,1007970.0,-1.0,-1.0,1014630.0,834.72,-860.0,0.0,2830.0
26,837.4,832.6793201583223,-1.0,-1.0,1009540.0,-1.0,0.0,1007970.0,-1.0,-1.0,1016750.0,838.96,-780.0,0.0,2120.0
27,840.0,835.3334564378737,-1.0,-1.0,1009740.0,-1.0,0.0,1007970.0,-1.0,-1.0,1017070.0,839.6,200.0,0.0,320.0
28,841.0,839.8663327448194,-1.0,-1.0,1011440.0,-1.0,0.0,1007970.0,-1.0,-1.0,1016070.0,837.6,1700.0,0.0,-1000.0
29,837.25,839.6237058829712,1.0,1.0,1013415.0,1.0,1.0,1009945.0,-1.0,-1.0,1017870.0,841.2,1975.0,1975.0,1800.0
30,841.0,842.0378050082694,1.0,1.0,1016165.0,1.0,0.0,1009945.0,-1.0,-1.0,1020520.0,846.5,2750.0,0.0,2650.0
31,849.3,841.8133768948383,-1.0,-1.0,1016180.0,-1.0,-1.0,1009960.0,-1.0,-1.0,1021905.0,849.27,15.0,15.0,1385.0
32,846.53,846.6580800312097,1.0,1.0,1018595.0,1.0,1.0,1012375.0,-1.0,-1.0,1022950.0,851.36,2415.0,2415.0,1045.0
33,849.5,850.2345036523536,1.0,1.0,1018845.0,1.0,0.0,1012375.0,-1.0,-1.0,1022270.0,850.0,250.0,0.0,-680.0
34,846.01,849.2674367834182,1.0,1.0,1019745.0,1.0,0.0,1012375.0,-1.0,-1.0,1021175.0,847.81,900.0,0.0,-1095.0
35,846.08,848.5402577938675,1.0,1.0,1020770.0,1.0,0.0,1012375.0,-1.0,-1.0,1021335.0,848.13,1025.0,0.0,160.0
36,848.75,848.2348715022665,-1.0,-1.0,1022565.0,-1.0,-1.0,1014170.0,-1.0,-1.0,1019850.0,845.16,1795.0,1795.0,-1485.0
37,852.0,849.0495441910903,-1.0,-1.0,1020395.0,-1.0,0.0,1014170.0,-1.0,-1.0,1025440.0,856.34,-2170.0,0.0,5590.0
38,854.9,845.9101990508733,-1.0,-1.0,1022220.0,-1.0,0.0,1014170.0,-1.0,-1.0,1022895.0,851.25,1825.0,0.0,-2545.0
