Date,Open,High,Low,Close,Volume,SP500,ADS_Index,Returns,Mkt-RF,SMB,HML,RF,Average_OC,Average_all,O-C,H-L,open_tmr,close_tmr,logVol
2016-01-06,753.57,765.73,748.0,760.4,16789,1990.26,-0.30808929836995,0.0027482833624726303,-1.35,-0.12,0.0,0.0,756.985,756.9250000000001,-6.829999999999927,17.730000000000018,740.0,741.45,9.728479189036397
2016-01-07,740.0,755.31,735.28,741.45,22332,1943.09,-0.294334959848744,-0.002893117667622672,-2.44,-0.29,0.08,0.0,740.725,743.01,-1.4500000000000455,20.029999999999973,752.49,730.91,10.01377590643025
2016-01-08,752.49,756.25,728.92,730.91,16494,1922.03,-0.281487553518761,-0.024435862605825583,-1.11,-0.47,-0.03,0.0,741.7,742.1425,21.58000000000004,27.33000000000004,732.5,734.56,9.7107519573933
2016-01-11,732.5,736.0,719.56,734.56,18012,1923.67,-0.248492833359153,-0.01371032908137756,-0.06,-0.65,0.34,0.0,733.53,730.655,-2.0599999999999454,16.440000000000055,733.99,744.51,9.798793481421463
2016-01-12,733.99,748.34,733.99,744.51,15821,1938.68,-0.239262607696132,0.0029509086148016344,0.71,-0.4,-0.77,0.0,739.25,740.2075,-10.519999999999982,14.350000000000023,749.43,719.57,9.669093450449063
2016-01-13,749.43,753.0,716.78,719.57,18036,1890.28,-0.230815095397068,0.016599321506273072,-2.67,-0.7,0.78,0.0,734.5,734.6949999999999,29.8599999999999,36.22000000000003,719.0,731.03,9.800125039540974
2016-01-14,719.0,739.89,705.0,731.03,19290,1921.84,-0.223149197981257,-0.035186705228100926,1.65,-0.01,-0.41,0.0,725.015,723.7299999999999,-12.029999999999973,34.889999999999986,720.0,710.49,9.867342105899775
2016-01-15,720.0,724.16,701.51,710.49,26729,1880.33,-0.216263918606063,0.016293032613944963,-2.14,0.42,-0.21,0.0,715.245,714.04,9.509999999999991,22.649999999999977,724.0,719.08,10.193504397284627
2016-01-19,724.0,725.35,709.85,719.08,16090,1881.33,-0.198060905394627,-0.028991994953669456,-0.2,-1.34,-0.07,0.0,721.54,719.5699999999999,4.919999999999959,15.5,708.0,719.78,9.685953239986429
2016-01-20,708.0,726.95,687.78,719.78,28215,1859.33,-0.197446860430805,0.012017782051576137,-0.94,1.85,-1.24,0.0,713.89,710.6275,-11.779999999999973,39.17000000000007,714.34,726.67,10.24760903040324
2016-01-21,714.34,737.67,711.11,726.67,16949,1868.99,-0.198680208493898,-0.0007234342634511545,0.45,-0.49,0.01,0.0,720.505,722.4475,-12.329999999999927,26.559999999999945,739.47,747.0,9.737964114018055
2016-01-22,739.47,748.56,738.0,747.0,16085,1906.9,-0.201761109963555,0.011223224309995505,2.08,0.22,-0.19,0.0,743.235,743.2575,-7.529999999999973,10.559999999999945,744.0,733.75,9.685642439673126
2016-01-25,744.0,752.46,732.5,733.75,14150,1877.08,-0.2212633064577,0.02552907614627475,-1.71,-0.37,-0.98,0.0,738.875,740.6775,10.25,19.960000000000036,734.89,731.8,9.557469903071384
2016-01-26,734.89,739.46,726.97,731.8,10471,1903.63,-0.229753687526685,-0.016010330443717594,1.52,0.38,1.22,0.0,733.345,733.28,3.090000000000032,12.490000000000009,733.0,739.0,9.256364810287462
2016-01-27,733.0,741.7,713.45,739.0,14819,1882.95,-0.238939663197664,0.0002316775868884474,-1.11,-0.54,1.72,0.0,736.0,731.7874999999999,-6.0,28.25,743.3,740.01,9.603665420190179
2016-01-28,743.3,751.16,730.6,740.01,21987,1893.36,-0.248822427978167,-0.022338390788639348,0.49,-0.47,1.26,0.0,741.655,741.2674999999999,3.2899999999999636,20.559999999999945,748.0,765.03,9.99820664859396
